dimension,value,approved_count,draft_review_count,total_count,percentage_of_total,target_exam_weight_percent,notes
domain,1.0 General Security Concepts,7,0,7,13.0,12,
domain,"2.0 Threats, Vulnerabilities, and Mitigations",11,0,11,20.4,22,
domain,3.0 Security Architecture,9,0,9,16.7,18,
domain,4.0 Security Operations,16,0,16,29.6,28,
domain,5.0 Security Program Management and Oversight,11,0,11,20.4,20,
objective,1.1 Compare and contrast various types of security controls.,1,0,1,1.9,,1 approved question.
objective,1.2 Summarize fundamental security concepts.,2,0,2,3.7,,2 approved questions.
objective,1.3 Explain the importance of change management processes and the impact to security.,2,0,2,3.7,,2 approved questions.
objective,1.4 Explain the importance of using appropriate cryptographic solutions.,2,0,2,3.7,,2 approved questions.
objective,2.1 Compare and contrast common threat actors and motivations.,2,0,2,3.7,,2 approved questions.
objective,2.2 Explain common threat vectors and attack surfaces.,3,0,3,5.6,,3 approved questions.
objective,2.3 Explain various types of vulnerabilities.,2,0,2,3.7,,2 approved questions.
objective,"2.4 Given a scenario, analyze indicators of malicious activity.",2,0,2,3.7,,2 approved questions.
objective,2.5 Explain the purpose of mitigation techniques used to secure the enterprise.,2,0,2,3.7,,2 approved questions.
objective,3.1 Compare and contrast security implications of different architecture models.,2,0,2,3.7,,2 approved questions.
objective,"3.2 Given a scenario, apply security principles to secure enterprise infrastructure.",3,0,3,5.6,,3 approved questions.
objective,3.3 Compare and contrast concepts and strategies to protect data.,2,0,2,3.7,,2 approved questions.
objective,3.4 Explain the importance of resilience and recovery in security architecture.,2,0,2,3.7,,2 approved questions.
objective,"4.1 Given a scenario, apply common security techniques to computing resources.",2,0,2,3.7,,2 approved questions.
objective,"4.2 Explain the security implications of proper hardware, software, and data asset management.",1,0,1,1.9,,1 approved question.
objective,4.3 Explain various activities associated with vulnerability management.,2,0,2,3.7,,2 approved questions.
objective,4.4 Explain security alerting and monitoring concepts and tools.,2,0,2,3.7,,2 approved questions.
objective,"4.5 Given a scenario, modify enterprise capabilities to enhance security.",2,0,2,3.7,,2 approved questions.
objective,"4.6 Given a scenario, implement and maintain identity and access management.",2,0,2,3.7,,2 approved questions.
objective,4.7 Explain the importance of automation and orchestration related to secure operations.,1,0,1,1.9,,1 approved question.
objective,4.8 Explain appropriate incident response activities.,2,0,2,3.7,,2 approved questions.
objective,"4.9 Given a scenario, use data sources to support an investigation.",2,0,2,3.7,,2 approved questions.
objective,5.1 Summarize elements of effective security governance.,2,0,2,3.7,,2 approved questions.
objective,5.2 Explain elements of the risk management process.,2,0,2,3.7,,2 approved questions.
objective,5.3 Explain the processes associated with third-party risk assessment and management.,2,0,2,3.7,,2 approved questions.
objective,5.4 Summarize elements of effective security compliance.,1,0,1,1.9,,1 approved question.
objective,5.5 Explain types and purposes of audits and assessments.,2,0,2,3.7,,2 approved questions.
objective,"5.6 Given a scenario, implement security awareness practices.",2,0,2,3.7,,2 approved questions.
difficulty,easy,15,0,15,27.8,,
difficulty,medium,27,0,27,50.0,,
difficulty,hard,12,0,12,22.2,,
question_type,single_choice,54,0,54,100.0,,
question_type,multi_select,0,0,0,0.0,,
question_type,best_available,0,0,0,0.0,,
question_style,direct,10,0,10,18.5,,
question_style,scenario,37,0,37,68.5,,
question_style,comparison,4,0,4,7.4,,
question_style,calculation,3,0,3,5.6,,
stored_correct_answer,A,14,0,14,25.9,,
stored_correct_answer,B,14,0,14,25.9,,
stored_correct_answer,C,13,0,13,24.1,,
stored_correct_answer,D,13,0,13,24.1,,
